时间,压力,流量,pH,浊度,余氯,温度,液位
2026-08-21T03:22:04,0.8180,137.3510,7.3220,2.2000,2.2770,20.9180,4.5720
2026-08-21T03:22:09,0.7290,369.3700,8.1410,2.0710,2.9380,22.8060,7.3460
2026-08-21T03:22:15,0.5600,164.4090,7.4220,2.9060,2.5510,26.0680,1.7700
2026-08-21T03:22:20,0.6700,349.7910,7.5580,3.8210,2.2410,15.4830,5.3920
2026-08-21T03:22:25,0.7180,229.3290,6.7190,1.3710,3.0040,10.3230,1.2700
2026-08-21T03:22:30,0.8070,233.0790,8.3670,3.1980,1.0580,31.9070,9.4200
2026-08-21T03:22:35,0.6440,115.0760,6.8980,0.3300,3.4770,26.4460,9.1380
2026-08-21T03:22:40,0.4220,338.6330,7.4880,0.8310,0.5600,24.0270,7.2940
2026-08-21T03:22:45,0.4020,293.3850,6.8230,0.5690,1.8050,28.1870,8.9590
2026-08-21T03:22:50,0.6990,245.9650,7.3420,1.1180,0.8090,29.8690,2.7670
2026-08-21T03:22:55,0.7240,154.5910,7.8900,0.9900,0.3640,31.3840,6.9530
2026-08-21T03:23,0.4870,143.1060,7.6490,3.6840,0.8540,21.3460,1.8420
2026-08-21T03:23:05,0.5030,250.4240,7.2880,1.9000,2.4240,30.8750,3.0570
2026-08-21T03:23:10,0.8040,401.9090,7.7590,0.2420,2.3340,16.9540,3.5480
2026-08-21T03:23:15,0.5360,100.8250,8.3740,3.0560,2.0480,19.5640,1.7830
2026-08-21T03:23:20,0.6880,244.9810,8.5420,3.1780,2.3270,27.5110,3.9630
2026-08-21T03:23:25,0.5270,268.5800,7.5080,3.2390,2.6560,13.6170,7.7390
2026-08-21T03:23:30,0.7040,159.3020,8.1720,1.2100,0.5980,10.1420,1.5710
2026-08-21T03:23:36,0.7220,195.7390,6.8930,3.8370,1.3400,19.1440,7.6820
2026-08-21T03:23:41,0.6210,191.1500,7.1410,0.2760,2.1490,21.8140,1.3540
2026-08-21T03:23:46,0.7450,224.9750,8.3830,1.4490,3.0500,20.0870,1.8920
2026-08-21T03:23:51,0.6800,162.6080,7.3360,1.7730,0.5750,11.1070,2.6260
2026-08-21T03:23:56,0.5610,256.6590,7.8120,2.4200,1.0900,14.7640,4.3590
2026-08-21T03:24:01,0.7590,378.5460,6.6080,3.0750,0.8110,9.3630,3.6150
2026-08-21T03:24:22,0.8820,297.0760,7.1030,3.1450,1.0110,10.8750,5.2780
2026-08-21T03:24:27,0.6960,213.8040,7.3370,1.1070,3.3610,10.1720,8.9560
2026-08-21T03:24:33,0.7990,284.2380,8.5410,2.6420,1.9700,17.9940,7.3120
2026-08-21T03:24:38,0.5940,398.1220,7.5010,3.9770,1.2820,16.1740,6.4290
